Day,Number of animals,Number of grass,Number of free fields,Most popular genotype,Average energy of living animals,Average lifespan of deaths animals
1,337,252,729,5465210047,160.0,0
2,369,288,688,5465210047,132.0,0
3,397,305,664,5465210047,113.0,0
4,396,316,664,5465210047,103.0,3
5,387,312,659,5465210047,100.0,3
6,356,324,681,5465210047,104.0,3
7,295,325,729,5465210047,129.0,4
8,234,332,766,5465210047,172.0,4
9,217,343,767,5465210047,194.0,5
10,215,355,759,5465210047,204.0,5
11,199,374,753,5465210047,229.0,5
12,205,396,729,5465210047,228.0,5
13,209,413,708,5465210047,230.0,5
14,217,424,700,5465210047,230.0,5
15,227,442,680,5465210047,224.0,5
16,235,446,663,5465210047,224.0,5
17,241,451,647,5465210047,225.0,5
18,246,471,617,5465210047,221.0,5
19,244,486,612,5465210047,226.0,5
20,234,505,593,5465210047,239.0,5
21,227,517,598,5465210047,253.0,5
22,232,536,579,5465210047,251.0,5
23,235,547,565,5465210047,253.0,5
24,239,552,563,5465210047,256.0,5
25,241,562,550,5465210047,259.0,5
26,240,567,542,5465210047,267.0,5
27,239,568,537,5465210047,277.0,5
28,240,579,526,5465210047,278.0,5
29,259,595,510,5465210047,257.0,5
30,264,607,497,5465210047,253.0,5
31,250,601,493,5465210047,274.0,5
32,238,602,488,5465210047,293.0,5
33,236,603,498,5465210047,299.0,5
34,248,612,484,5465210047,284.0,5
35,256,622,483,5465210047,279.0,6
36,246,639,457,5465210047,291.0,6
37,240,635,463,5465210047,304.0,6
38,236,640,454,5465210047,311.0,6
39,241,645,454,5465210047,307.0,6
40,232,644,448,5465210047,320.0,6
41,232,652,449,5465210047,326.0,6
42,245,660,441,5465210047,308.0,6
43,246,647,434,5465210047,315.0,6
44,241,653,420,5465210047,317.0,6
45,228,666,421,5465210047,335.0,6
46,224,661,434,5465210047,343.0,6
47,214,668,426,5465210047,362.0,6
48,215,667,417,5465210047,363.0,6
49,228,667,424,5465210047,341.0,6
50,227,672,421,5465210047,348.0,6
51,221,670,419,5465210047,361.0,6
52,222,665,436,5465210047,367.0,6
53,225,661,423,5465210047,365.0,6
54,223,663,427,5465210047,372.0,6
55,216,665,427,5465210047,389.0,6
56,208,654,441,5465210047,411.0,6
57,212,654,440,5465210047,410.0,6
58,222,663,425,5465210047,392.0,6
59,225,651,435,5465210047,392.0,6
60,237,644,453,6700751156,376.0,6
61,235,647,440,6700751156,385.0,6
62,233,639,442,7214267474,392.0,6
63,228,645,434,7214267474,403.0,6
64,226,652,439,4021741036,412.0,6
65,226,656,430,4021741036,416.0,6
66,231,651,440,4021741036,411.0,7
67,234,635,444,4021741036,413.0,7
68,233,620,450,4021741036,422.0,7
69,232,624,463,4021741036,426.0,7
70,231,616,463,4021741036,436.0,7
71,235,606,476,4021741036,434.0,7
72,234,604,478,4021741036,446.0,7
73,244,602,481,4021741036,431.0,7
